clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
91;0.13871505;0.00910965;0.38777916;3214631610;45990510133;1429409733;0
92;5356318035;0.05338644;9223985443;1960971948;22915906688;1150061899;0
93;5062157269;0.05606064;2314933817;1898766070;22318525070;1334167400;0
94;9273673121;0.0385062;1339922211;5476262002;73008485577;2216825106;0
95;4021891982;0.00842724;0.01804649;1214946778;20949094011;2826039675;0
96;3886953056;0.07062105;1121793226;383962891.4;2832747767;1626698687;0
97;265420696;0.03083504;2304188079;967726035.6;40237948651;1869975336;0
98;4678591023;0.00370361;9238607496;1357702566;26024040983;6677355361;0
99;2307939671;0.04645676;3161918231;1971592885;18306518741;3808020357;0
100;531823823;0.03642196;3841555978;290738480.3;11151639064;1280501670;0
101;4482529811;0.02161676;2877794731;1112075596;18688541594;972048730.3;0
102;0.14248936;0.00846385;1198962634;3181255656;55403856776;1106010441;0
103;3751795202;0.00978465;21387.16;1624245680;29619989929;2028725947;0
104;222038514;0.04085844;4391903264;1483477124;13143860876;2061778446;0
105;292834612;0.03553576;4245604565;912951849.6;6902335797;1419378876;0
106;397663792;0.01902449;1895222225;2618316024;34201091114;3164736861;0
107;0.08935616;0.00960484;0.30381261;6262782362;80201127881;1108325558;0
108;3884316142;0.04503641;2949879176;3977081749;32999597058;3203276904;0
109;3860310658;0.11264885;3199799589;1205615659;8109312382;4534362435;0
110;3346238765;0.03597396;3529890486;544694513.4;5322833427;841104606;0
111;272108.14;0.01253216;2429535206;434403936.4;22275269731;2171890471;0
112;0.05210129;0.00482585;0.18893316;1389764609;55867057270;848816142.7;0
113;2189670349;0.01973009;3049890357;824484938.2;16287703730;966804271.3;0
114;2496322644;0.06441356;3711556526;1001141918;4175757405;1404930677;0
115;2763556001;0.04185876;2641339876;1359329589;22344329431;755165956.2;0
116;4175442956;0.00155629;2788557505;2079787786;35179829726;7353712405;0
117;0.22352805;0.04412416;1036449228;2962138408;35369163432;3155946823;0
118;3206931249;9170711461;3205791466;2675116721;15323892448;1920551382;0
119;2335990302;0.07643524;3343185686;2078763784;11640674679;2492787750;0
120;0.20809041;0.04856489;1599583414;4459883878;43238611039;1115863204;0
121;3045269693;0.01225169;2632683222;3069356401;26255392159;6034630557;0
122;1259583597;0.10351204;2353333127;2174131952;12016483257;3682321507;0
123;197533602;0.03248056;2579465762;681411134.2;4626241327;1324544132;0
124;2814322215;0.00405681;1946465299;1343873499;16728789783;3971109227;0
125;0.20101124;0.06338561;1551805666;4121282375;30532682449;3106730982;0
126;2299065369;0.05504861;3805827946;1105015720;8970395810;1272680856;0
127;1864815317;0.03461189;3496176762;1567881403;12820962223;1403983824;0
128;0.11155849;0.03428309;1616482895;5933142328;50247958818;708737503.2;0
129;373461373;0.0189896;2011294529;1873981064;21079748928;3911794083;0
130;3532136991;9082947147;2628591427;1232407452;3685838615;3058976953;0
131;3471198251;0.06565604;2796775688;668294073.4;19825318263;652419535.6;0
132;2875177441;0.01019209;1940743573;391957846.8;24563591717;4469064329;0
133;0.16216504;0.04455144;0.41584164;2818949588;34748346743;2910219038;0
134;4297505337;0.0742874;1787780628;1538431129;19005442108;2112503791;0
135;4243384127;9041507433;1634919853;1624403196;15763806485;2871340609;0
136;1048149468;0.07984329;1056049301;6269492762;57332442933;3317430426;0
137;4122166194;2095346324;1260150003;1721601464;18773015045;7206247682;0
138;3583034903;0.14152345;1123884018;1200188087;5909603402;3862055578;0
139;4512333362;0.09700929;2510074736;898348498.6;7643755020;2134854114;0
140;3732060012;0.00974244;1968104478;2113976177;24679669896;3124664262;0
141;0.1095348;0.01274685;0.27521065;5751531880;61436454975;1192194750;0
142;3585814732;0.02002596;3094821004;935309412;11597326608;1538788409;0
143;3272345453;0.12981144;3260222442;1184920403;6179669442;1478389033;0
144;1711230642;0.06148396;3828972933;2129649719;29700091526;1701807736;0
145;2697490498;0.00397421;9075168924;2656768875;36632022409;5262412599;0
146;9146969367;0.03214465;0.52455461;4069443489;41874210602;1921383252;0
147;4433394248;0.03994724;2517590197;1027228164;13005639402;821259059.5;0
148;4254396173;0.07595004;2507055919;575070728.4;10028260902;1246675854;0
149;1149390604;0.04335284;1465687791;3294324379;40857751674;1582871611;0
150;5094909112;0.00682964;1908178606;2608700698;33019422924;4370487560;0
151;2767091848;0.06932669;322349371;2816393138;28799770662;1831061393;0
152;5067492174;959389476;0.10675265;2306987912;14222161833;1968429772;0
153;3626760002;0.01752644;2967791262;1262068752;17300062210;2156147117;0
154;0.10633524;0.01003324;9179730796;6051979630;66671095735;1220145886;0
155;4087710588;0.00808905;2952677416;1515300881;21137842951;1403079087;0
156;4343512728;0.09623196;3238503533;787223510.8;5861534020;2388623707;0
157;3876924609;0.0292756;2325046124;1115925824;17210366237;464837775.7;0
158;3766618648;0.00538941;2779160939;2701364069;35054082870;3143640261;0
159;0.19422529;0.01455081;0.428313;2415590406;46176060704;609835352.1;0
160;3184989456;0.01242801;2728928107;1254825480;12735659382;406695059.8;0
161;3369501718;0.02872989;2706133114;320240306.6;6947457177;576754286.8;0
162;0.2167894;0.00926421;2379978717;2352392237;43123691888;1543745494;0
163;2909783772;0.03049876;2903611778;2681818347;39662298036;1915016069;0
164;1699276448;0.04304296;1511653179;1096299881;27922012621;1616721869;0
